matchId,slug,playerid,overs,balls,maidens,conceded,wickets,economy,runsPerBall,dots,fours,sixes,wides,noballs
1359491,sandeep-sharma,438362,3,18,0,30,1,10,1.66,6,1,2,2,0
1359491,kuldeep-sen,1163695,2,12,0,8,0,4,0.66,4,0,0,0,0
1359491,jason-holder,391485,3,18,0,37,0,12.33,2.05,4,4,2,1,0
1359491,adam-zampa,379504,4,24,0,43,1,10.75,1.79,5,4,1,1,0
1359491,ravichandran-ashwin,26421,4,24,0,25,2,6.25,1.04,10,1,1,2,0
1359491,yuzvendra-chahal,430246,4,24,0,27,2,6.75,1.12,8,2,0,1,0
1359492,mohammed-shami,481896,4,24,0,44,1,11,1.83,9,7,1,1,0
1359492,josh-little,928067,4,24,0,31,1,7.75,1.29,11,3,1,3,0
1359492,alzarri-joseph,670031,4,24,0,32,1,8,1.33,11,1,2,5,0
1359492,rashid-khan,793463,4,24,0,26,1,6.5,1.08,13,3,1,0,0
1359492,mohit-sharma,537119,4,24,0,18,2,4.5,0.75,12,2,0,0,0
1359492,arshdeep-singh,1125976,4,24,0,33,1,8.25,1.37,8,5,0,0,0
1359492,kagiso-rabada,550215,4,24,0,36,1,9,1.5,11,5,1,0,0
1359492,harpreet-brar,1168641,4,24,0,20,1,5,0.83,8,1,0,0,0
1359492,sam-curran,662973,3.5,23,0,25,1,6.52,1.08,7,2,0,0,0
1359492,rahul-chahar,1064812,3,18,0,24,0,8,1.33,4,3,0,0,0
1359492,matthew-short,605575,1,6,0,8,0,8,1.33,1,1,0,0,0
1359493,umesh-yadav,376116,3,18,0,42,0,14,2.33,3,3,3,1,0
1359493,lockie-ferguson,493773,2,12,0,37,0,18.5,3.08,4,5,1,1,1
1359493,sunil-narine,230558,4,24,0,28,0,7,1.16,7,1,1,2,0
1359493,andre-russell,276298,2.1,13,0,22,3,10.15,1.69,4,2,1,2,0
1359493,varun-chakravarthy,1108375,4,24,0,41,1,10.25,1.7,4,3,2,1,0
1359493,suyash-sharma,1350792,4,24,0,44,0,11,1.83,8,4,3,0,0
1359493,shardul-thakur,475281,0.5,5,0,14,0,16.8,2.8,0,3,0,0,0
1359493,bhuvneshwar-kumar,326016,4,24,1,29,1,7.25,1.2,10,4,0,1,0
1359493,marco-jansen,696401,4,24,0,37,2,9.25,1.54,12,1,3,4,2
1359493,t-natarajan,802575,4,24,0,54,1,13.5,2.25,6,6,3,1,0
1359493,umran-malik,1246528,2,12,0,36,1,18,3,3,4,3,0,0
1359493,mayank-markande,1081442,4,24,0,27,2,6.75,1.12,10,2,1,0,0
1359493,washington-sundar,719715,2,12,0,20,0,10,1.66,2,1,1,0,0
1359494,anrich-nortje,481979,4,24,0,31,0,7.75,1.29,9,3,0,2,1
1359494,axar-patel,554691,3,18,0,25,1,8.33,1.38,9,0,3,0,0
1359494,mustafizur-rahman,330902,3,18,0,41,0,13.66,2.27,2,5,2,0,0
1359494,mitchell-marsh,272450,2,12,0,18,2,9,1.5,5,2,1,0,0
1359494,lalit-yadav,930189,4,24,0,29,1,7.25,1.2,7,0,2,1,0
1359494,kuldeep-yadav,559235,4,24,1,23,2,5.75,0.95,10,3,0,0,0
1359494,mohammed-siraj,940973,4,24,0,23,2,5.75,0.95,14,4,0,0,0
1359494,wayne-parnell,265564,4,24,0,28,1,7,1.16,10,3,1,0,0
1359494,vijaykumar-vyshak,777815,4,24,0,20,3,5,0.83,11,2,0,0,0
1359494,shahbaz-ahmed,1159711,1,6,0,11,0,11,1.83,0,1,0,0,0
1359494,wanindu-hasaranga,784379,3,18,0,37,1,12.33,2.05,4,5,1,0,0
1359494,harshal-patel,390481,4,24,0,32,1,8,1.33,7,3,0,3,0
1359495,matthew-short,605575,2,12,0,10,0,5,0.83,7,0,1,0,0
1359495,arshdeep-singh,1125976,3,18,0,22,1,7.33,1.22,7,3,0,1,0
1359495,kagiso-rabada,550215,4,24,0,34,2,8.5,1.41,11,2,2,2,0
1359495,sam-curran,662973,4,24,0,31,3,7.75,1.29,9,2,1,2,0
1359495,harpreet-brar,1168641,2,12,0,10,1,5,0.83,6,1,0,0,0
1359495,sikandar-raza,299572,2,12,0,19,1,9.5,1.58,2,2,0,0,1
1359495,rahul-chahar,1064812,3,18,0,28,0,9.33,1.55,5,1,2,1,0
1359495,yudhvir-singh,1206052,3,18,0,19,2,6.33,1.05,11,4,0,0,0
1359495,avesh-khan,694211,3,18,0,24,0,8,1.33,8,4,0,1,0
1359495,mark-wood,351588,4,24,0,35,2,8.75,1.45,10,2,2,2,0
1359495,krishnappa-gowtham,424377,4,24,0,31,1,7.75,1.29,10,1,2,1,0
1359495,krunal-pandya,471342,3,18,0,32,1,10.66,1.77,6,3,2,0,0
1359495,ravi-bishnoi,1175441,2.3,15,0,18,2,7.2,1.2,7,2,0,1,0
1359496,arjun-tendulkar,1148776,2,12,0,17,0,8.5,1.41,6,1,1,1,0
1359496,cameron-green,1076713,2,12,0,20,1,10,1.66,6,1,1,2,0
1359496,duan-jansen,595954,4,24,0,53,1,13.25,2.2,6,3,4,4,0
1359496,piyush-chawla,32966,4,24,0,19,1,4.75,0.79,10,1,0,0,0
1359496,hrithik-shokeen,1175423,4,24,0,34,2,8.5,1.41,7,3,1,1,0
1359496,riley-meredith,961713,4,24,0,40,1,10,1.66,9,3,3,0,0
1359496,umesh-yadav,376116,2,12,0,19,0,9.5,1.58,6,1,2,0,0
1359496,shardul-thakur,475281,2,12,0,25,1,12.5,2.08,2,3,1,1,0
1359496,sunil-narine,230558,3,18,0,41,0,13.66,2.27,4,3,3,1,0
1359496,suyash-sharma,1350792,4,24,0,27,2,6.75,1.12,11,3,1,0,0
